date,value
2019-03-25 14:30:00,1073.52
2019-03-25 15:30:00,1074.2
2019-03-25 16:30:00,1082.09
2019-03-25 17:30:00,1085.03
2019-03-25 18:30:00,1086.09
2019-03-25 19:30:00,789.08
2019-03-25 20:30:00,548.21
2019-03-25 21:30:00,566.73
2019-03-25 22:30:00,576.81
2019-03-25 23:30:00,586.53
2019-03-26 00:30:00,605.93
2019-03-26 01:30:00,634.09
2019-03-26 02:30:00,655.65
2019-03-26 03:30:00,664.86
2019-03-26 04:30:00,678.22
2019-03-26 05:30:00,686.35
2019-03-26 06:30:00,700.4
2019-03-26 07:30:00,713.61
2019-03-26 08:30:00,723.61
2019-03-26 09:30:00,740.6
2019-03-26 10:30:00,780.33
2019-03-26 11:30:00,823.43
2019-03-26 12:30:00,837.85
2019-03-26 13:30:00,852.81
2019-03-26 14:30:00,679.29
2019-03-26 15:30:00,489.92
2019-03-26 16:30:00,569.42
2019-03-26 17:30:00,596.73
2019-03-26 18:30:00,647.49
2019-03-26 19:30:00,690.05
2019-03-26 20:30:00,725.99
2019-03-26 21:30:00,743.21
2019-03-26 22:30:00,755.3
2019-03-26 23:30:00,763.32
2019-03-27 00:30:00,780.39
2019-03-27 01:30:00,792.95
2019-03-27 02:30:00,806.65
2019-03-27 03:30:00,819.98
2019-03-27 04:30:00,832.53
2019-03-27 05:30:00,845.99
2019-03-27 06:30:00,862.41
2019-03-27 07:30:00,556.6
2019-03-27 08:30:00,506.45
2019-03-27 09:30:00,506.83
2019-03-27 10:30:00,507.11
2019-03-27 11:30:00,515.06
2019-03-27 12:30:00,538.93
2019-03-27 13:30:00,548.87
2019-03-27 14:30:00,551.86
2019-03-27 15:30:00,554.31
2019-03-27 16:30:00,558.11
2019-03-27 17:30:00,565.85
2019-03-27 18:30:00,566.65
2019-03-27 19:30:00,571.03
2019-03-27 20:30:00,573.22
2019-03-27 21:30:00,574.27
2019-03-27 22:30:00,577.86
2019-03-27 23:30:00,547.82
2019-03-28 00:30:00,580.21
2019-03-28 01:30:00,649.4
2019-03-28 02:30:00,664.27
2019-03-28 03:30:00,684.58
2019-03-28 04:30:00,696.46
2019-03-28 05:30:00,710.93
2019-03-28 06:30:00,718.05
2019-03-28 07:30:00,734.94
2019-03-28 08:30:00,748.9
2019-03-28 09:30:00,764.04
2019-03-28 10:30:00,780.53
2019-03-28 11:30:00,795.89
2019-03-28 12:30:00,816.12
2019-03-28 13:30:00,830.16
2019-03-28 14:30:00,851.68
2019-03-28 15:30:00,858.63
2019-03-28 16:30:00,627.51
2019-03-28 17:30:00,500.85
2019-03-28 18:30:00,502.36
2019-03-28 19:30:00,504.93
2019-03-28 20:30:00,505.47
2019-03-28 21:30:00,507.26
2019-03-28 22:30:00,516.18
2019-03-28 23:30:00,521.17
2019-03-29 00:30:00,523.01
2019-03-29 01:30:00,522.97
2019-03-29 02:30:00,524.95
2019-03-29 03:30:00,525.33
2019-03-29 04:30:00,527.66
2019-03-29 05:30:00,529.87
2019-03-29 06:30:00,528.42
2019-03-29 07:30:00,530.53
2019-03-29 08:30:00,533.36
2019-03-29 09:30:00,533.99
2019-03-29 10:30:00,536.31
2019-03-29 11:30:00,537.83
2019-03-29 12:30:00,538.15
2019-03-29 13:30:00,541.3
2019-03-29 14:30:00,539.66
2019-03-29 15:30:00,541.58
2019-03-29 16:30:00,541.75
2019-03-29 17:30:00,547.4
2019-03-29 18:30:00,548.88
2019-03-29 19:30:00,551.7
2019-03-29 20:30:00,556.45
2019-03-29 21:30:00,557.64
2019-03-29 22:30:00,558.97
2019-03-29 23:30:00,563.12
2019-03-30 00:30:00,566.28
2019-03-30 01:30:00,570.61
2019-03-30 02:30:00,572.27
2019-03-30 03:30:00,574.09
2019-03-30 04:30:00,575.23
2019-03-30 05:30:00,576.75
2019-03-30 06:30:00,577.75
2019-03-30 07:30:00,581.29
2019-03-30 08:30:00,582.42
2019-03-30 09:30:00,583.82
2019-03-30 10:30:00,585.41
2019-03-30 11:30:00,587.05
2019-03-30 12:30:00,588.98
2019-03-30 13:30:00,589.96
2019-03-30 14:30:00,591.87
2019-03-30 15:30:00,592.87
2019-03-30 16:30:00,595.27
2019-03-30 17:30:00,598.1
2019-03-30 18:30:00,600.41
2019-03-30 19:30:00,602.0
2019-03-30 20:30:00,605.08
2019-03-30 21:30:00,608.0
2019-03-30 22:30:00,609.88
2019-03-30 23:30:00,611.05
2019-03-31 00:30:00,612.55
2019-03-31 01:30:00,614.62
2019-03-31 02:30:00,616.27
2019-03-31 03:30:00,619.06
2019-03-31 04:30:00,620.22
2019-03-31 05:30:00,621.85
2019-03-31 06:30:00,624.63
2019-03-31 07:30:00,626.55
2019-03-31 08:30:00,630.46
2019-03-31 09:30:00,630.94
2019-03-31 10:30:00,634.42
2019-03-31 11:30:00,638.25
2019-03-31 12:30:00,639.58
2019-03-31 13:30:00,642.39
2019-03-31 14:30:00,645.32
2019-03-31 15:30:00,646.94
2019-03-31 16:30:00,648.87
2019-03-31 17:30:00,651.46
2019-03-31 18:30:00,655.9
2019-03-31 19:30:00,657.63
2019-03-31 20:30:00,659.95
2019-03-31 21:30:00,662.09
2019-03-31 22:30:00,663.72
2019-03-31 23:30:00,666.1
2019-04-01 00:30:00,669.08
2019-04-01 01:30:00,672.07
2019-04-01 02:30:00,673.61
2019-04-01 03:30:00,675.85
2019-04-01 04:30:00,676.93
2019-04-01 05:30:00,681.16
2019-04-01 06:30:00,683.89
2019-04-01 07:30:00,686.09
2019-04-01 08:30:00,687.36
2019-04-01 09:30:00,690.64
2019-04-01 10:30:00,702.65
2019-04-01 11:30:00,709.94
2019-04-01 12:30:00,719.93
2019-04-01 13:30:00,727.15
2019-04-01 14:30:00,738.47
2019-04-01 15:30:00,729.33
2019-04-01 16:30:00,717.43
2019-04-01 17:30:00,727.49
2019-04-01 18:30:00,763.18
2019-04-01 19:30:00,718.44
2019-04-01 20:30:00,520.12
2019-04-01 21:30:00,531.12
2019-04-01 22:30:00,542.92
2019-04-01 23:30:00,553.17
2019-04-02 00:30:00,565.56
2019-04-02 01:30:00,586.39
2019-04-02 02:30:00,620.38
2019-04-02 03:30:00,633.71
2019-04-02 04:30:00,642.58
2019-04-02 05:30:00,655.47
2019-04-02 06:30:00,668.54
2019-04-02 07:30:00,676.35
2019-04-02 08:30:00,691.0
2019-04-02 09:30:00,706.07
2019-04-02 10:30:00,722.27
2019-04-02 11:30:00,734.3
2019-04-02 12:30:00,748.37
